Title,Authors,Year,Venue
Creation of educational games — project based learning in e-learning systems course,"Mile Jovanov, Bojan Ilijoski, Emil Stankov et al.",2017,2017 IEEE Global Engineering Education Conference (EDUCON)
Cross-course project-based learning in requirements engineering: an eight-year retrospective,"Joshua C. Nwokeji, Psem Stephen T. Frezza",2017,2017 IEEE Frontiers in Education Conference (FIE)
Cultural factors influencing international collaborative software engineering education in China,"Yuqing Wang, Jouni Markkula, Jing Jiang",2017,2017 24th Asia-Pacific Software Engineering Conference (APSEC)
Deploying team-based learning at undergraduate software engineering courses,"Santiago Matalonga, Gaston Mousques, Alejandro Bia",2017,2017 IEEE/ACM 1st International Workshop on Software Engineering Curricula for Millennials (SECM)
Don’t underestimate the human factors! Exploring team communication effects,"Fabian Kortum, Jil Klünder, Kurt Schneider",2017,Product-focused software process improvement
Enhancing collaboration among undergraduates in informatics: a teaching and learning process based on crowdsourcing,"William Simao De Deus, Heydi Miura Machado, Renata Marques Barros et al.",2017,2017 IEEE Frontiers in Education Conference (FIE)
Enhancing engineering education with wikispaces,Udai Kumar Kudikyala,2017,2017 International Conference on Transforming Engineering Education (ICTEE)
Evolving a project-based software engineering course: a case study,"David Delgado, Alejandro Velasco, Jairo Aponte et al.",2017,2017 IEEE 30th Conference on Software Engineering Education and Training (CSEE&T)
Experimenting with realism in software engineering team projects: an experience report,"Robbie Simpson, Tim Storer",2017,2017 IEEE 30th Conference on Software Engineering Education and Training (CSEE&T)
From diversity by numbers to diversity as process: supporting inclusiveness in software development teams with brainstorming,"Anna Filippova, Erik Trainer, James D. Herbsleb",2017,2017 IEEE/ACM 39th International Conference on Software Engineering (ICSE)
Hardening freshman engineering student soft skills,"Andrea Borowczak, Mike Borowczak",2017,2017 FYEE Conference Proceedings
Improving collaborative learning in online software engineering education,"Colin J. Neill, Joanna F. DeFranco, Raghvinder S. Sangwan",2017,European Journal of Engineering Education
Improving communication in multicultural teams — a web-based model and its application in project management education,"Renate Motschnig, Seyhan Guver",2017,2017 IEEE Frontiers in Education Conference (FIE)
Integrated E-project collaborative management system: empirical study for problem-based learning project,Kemachart Kemavuthanon,2017,2017 9th International Conference on Information Technology and Electrical Engineering (ICITEE)
Interdisciplinary software projects as an active methodology to practice for the profession,"Maria Augusta Vieira Nelson, Rommel Vieira Carneiro, Marco Rodrigo Costa",2017,2017 IEEE/ACM 1st International Workshop on Software Engineering Curricula for Millennials (SECM)
Investigating students’ metacognitive skills while working on information systems development projects,"Harry Budi Santoso, Oenardi Lawanto, Betty Purwandari et al.",2017,2017 7th World Engineering Education Forum (WEEF)
Investigating undergraduate students’ communication self-efficacy during an engineering design course,"Deeksha Seth, Gabriel N. Carryon",2017,2017 IEEE Frontiers in Education Conference (FIE)
Lean learning - applying lean techniques to improve software engineering education,"Robert Chatley, Tony Field",2017,2017 IEEE/ACM 39th International Conference on Software Engineering: Software Engineering Education and Training Track (ICSE-SEET)
Learning agile with tech startup software engineering projects,"Kevin Buffardi, Colleen Robb, David Rahn",2017,Proceedings of the 2017 ACM Conference on Innovation and Technology in Computer Science Education
Learning scrum by doing real-life projects,"Monica Villavicencio, Erika Narvaez, Edgar Izquierdo et al.",2017,2017 IEEE Global Engineering Education Conference (EDUCON)
Lifting the constraints — closing the skills gap with authentic student projects,"Richa Awasthy, Shayne Flint, Ramesh Sankaranarayana",2017,2017 IEEE Global Engineering Education Conference (EDUCON)
Meta-assessment in a project-based systems engineering course,"Niva Wengrowicz, Yehudit Judy Dori, Dov Dori",2017,Assessment & Evaluation in Higher Education
On a pursuit for perfecting an undergraduate requirements engineering course,"Chandan R. Rupakheti, Mark Hays, Sriram Mohan et al.",2017,2017 IEEE 30th Conference on Software Engineering Education and Training (CSEE&T)
Project-based learning in an international virtual classroom to teach global software engineering,"Jesus Manuel Olivares-Ceja, Brandon Guitierrez Sanchez, Patricia Brockmann et al.",2017,EDULEARN17 Proceedings
Relationship between the five factor model personality and learning effectiveness of teams in three information systems education courses,"Masashi Shuto, Hironori Washizaki, Katsuhiko Kakehi et al.",2017,"2017 18th IEEE/ACIS International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD)"
Student perspectives of team-based learning in a CS course: summary of qualitative findings,Michael S. Kirkpatrick,2017,Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education
Study of motivation of engineering students on multinational design projects,"Jorge Rodriguez, Ivan Esparragoza, Jared R. Ocampo et al.",2017,IEEE Revista Iberoamericana de Tecnologias del Aprendizaje
Teaching software engineering course with cooperative learning method: a pilot study,"Shuib Basri, Aliza Sarlan, Norshakirah A. Aziz et al.",2017,2017 7th World Engineering Education Forum (WEEF)
Teaching software project management using project based learning (PBL) and group projects,"Jeremy Straub, Scott Kerlin, David Whalen",2017,2017 IEEE International Conference on Electro Information Technology (EIT)
The archetype learning method — scaffolding teamwork competences in the engineering classroom,"Arnold Pears, Mats Daniels, Asa Cajander",2017,2017 IEEE Frontiers in Education Conference (FIE)
Towards an approach to prevent social loafing in software development teams,"Ilenia Fronza, Xiaofeng Wang",2017,2017 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM)
Use of gamification to teach agile values and collaboration: a multi-week scrum simulation project in an undergraduate software engineering course,"Sonja Hof, Martin Kropp, Marla Landolt",2017,Proceedings of the 2017 ACM Conference on Innovation and Technology in Computer Science Education
Use of role-play and gamification in a software project course,"Bruce R. Maxim, Stein Brunvand, Adrienne Decker",2017,2017 IEEE Frontiers in Education Conference (FIE)
What can students get from a software engineering capstone course?,"Maria Cecilia Bastarrica, Daniel Perovich, Maira Marques Samary",2017,2017 IEEE/ACM 39th International Conference on Software Engineering: Software Engineering Education and Training Track (ICSE-SEET)
You want me to work with Who ?: stakeholder perceptions of automated team formation in project-based courses,"Farnaz Jahanbakhsh, Wai-Tat Fu, Karrie Karahalios et al.",2017,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems
A case study of using scrum in teaching software process,"Minjie Hu, Sandra Cleland, Aaron Steele",2018,Proceedings of the 9th Annual Conference of Computing and Information Technology Research and Education New Zealand (CITRENZ 2018)
A hackathon methodology for undergraduate course projects,"Kiev Gama, Breno Alencar, Filipe Calegario et al.",2018,2018 IEEE Frontiers in Education Conference (FIE)
A scalable methodology to guide student teams executing computing projects,"Jeffrey S. Saltz, Robert R. Heckman",2018,ACM Transactions on Computing Education
A study of team formation strategies and their impact on individual student learning using educational data mining (EDM),"Vijayalakshmi M, Suman Salimath, Ashok S. Shettar et al.",2018,2018 IEEE Tenth International Conference on Technology for Education (T4E)
Acquiring professional software engineering skills through studio-based learning,Daniela Rosca,2018,2018 17th International Conference on Information Technology Based Higher Education and Training (ITHET)
"Active project based learning pedagogies: learning hardware, software design and wireless sensor instrumentation","Fahd Ahmed Banakhr, Muhammad Javed Iqbal, Nabil Shaukat",2018,2018 IEEE Global Engineering Education Conference (EDUCON)
Agile practices and the promotion of entrepreneurial skills in software development,"Cristiano Tolfo, Raul Sidnei Wazlawick, Marcelo Gitirana Gomes Ferreira et al.",2018,Journal of Software: Evolution and Process
An activity-based undergraduate software engineering course to engage students and encourage learning,"Eileen T. Kraemer, Murali Sitaraman, Joseph Hollingsworth",2018,Proceedings of the 3rd European Conference of Software Engineering Education
An undergraduate project combining computer science and the arts: an experience report of a multidisciplinary capstone design,"Sixto J. Castro, Luis Jácome, Ana Gabriela Concha et al.",2018,Proceedings of the 7th Computer Science Education Research Conference
Analyzing main characteristics in software engineering projects,Jakeline Marcos-Abed,2018,2018 IEEE Frontiers in Education Conference (FIE)
approach for the determination and correlation of diversity and efficiency of software development teams,"Seher Altiner, Mustafa B. Ayhan",2018,South African Journal of Science
Assessing programming education approaches for college beginners with different backgrounds,"Hong Liu, Chen Zhong",2018,Proceedings of the 10th International Conference on Education Technology and Computers
Beyond surveys: analyzing software development artifacts to assess teaching efforts,"Christoph Matthies, Ralf Teusner, Guenter Hesse",2018,2018 IEEE Frontiers in Education Conference (FIE)
Bringing together undergraduate and postgraduate students in software engineering team project: experiences and lessons,"Georgia M. Kapitsaki, Styliani Kleanthous Loizou",2018,Proceedings of the 23rd Annual ACM Conference on Innovation and Technology in Computer Science Education
Collaborative agile learning in online environments: strategies for improving team regulation and project management,"Ingrid Noguera, Ana-Elena Guerrero-Roldán, Ricard Masó",2018,Computers & Education
Collaborative and teamwork software development in an undergraduate software engineering course,"Claudia Raibulet, Francesca Arcelli Fontana",2018,Journal of Systems and Software
Combining agile software development and service-learning: a case study in experiential IS education,"Spencer Robinson, Margeret Hall",2018,Proceedings of the 49th ACM Technical Symposium on Computer Science Education
Continuous delivery of personalized assessment and feedback in agile software engineering projects,"Xiaoying Bai, Mingjie Li, Dan Pei et al.",2018,ICSE ’18: 40th International Conference on Software Engineering
Continuous delivery of personalized assessment and feedback in agile software engineering projects,"Xiaoying Bai, Mingjie Li, Dan Pei et al.",2018,Proceedings of the 40th International Conference on Software Engineering: Software Engineering Education and Training
Effective approach in making capstone project a holistic learning experience to students of undergraduate computer science engineering program,"Deepamala N, Shobha G",2018,Journal of Technology and Science Education
Enhancing software engineering education through experimentation: an experience report,"Marco Kuhrmann, Jurgen Munch",2018,"2018 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)"
Enhancing the student learning experience in software engineering project courses,"Maira Marques, Sergio F. Ochoa, Maria Cecilia Bastarrica et al.",2018,IEEE Transactions on Education
Equal but not equitable: self-reported data obscures gendered differences in project teams,Laura J. Hirshfield,2018,IEEE Transactions on Education
Evaluating the influence of PBL on the development of soft skills in a computer engineering undergraduate program,"Felipe L. F. Barros, Roberto A. Bittencourt",2018,2018 IEEE Frontiers in Education Conference (FIE)
Exploring collaborative writing of user stories with multimodal learning analytics: a case study on a software engineering course,"Rene Noel, Fabian Riquelme, Roberto Mac Lean et al.",2018,IEEE Access
Exploring students’ perceptions of servicelearning experiences in an undergraduate web design course,"Sang Joon Lee, Charlie Wilder, Chien Yu",2018,Teaching in Higher Education
Fostering 21 century learning and innovation competencies through students’ online collaborative activities in software engineering courses,"Alejandro Adorjan, Miguel Nunez-Del-Prado",2018,2018 IEEE World Engineering Education Conference (EDUNINE)
Fostering soft skills in project-oriented learning within an agile atmosphere,"Hadas Chassidim, Dani Almog, Shlomo Mark",2018,European Journal of Engineering Education
Fostering teamwork with an online idea stock exchange,"Lori Scarlatos, Tony Scarlatos",2018,Journal of Computing Sciences in Colleges
From explaining how random forest classifier predicts learning of software engineering teamwork to guidance for educators,"Dragutin Petkovic, Sabiha H Barlaskar, Jizhou Yang et al.",2018,2018 IEEE Frontiers in Education Conference (FIE)
Gendered influences on peer assessments of team behavior,"Emily Miller, Reid Bailey",2018,2018 IEEE Frontiers in Education Conference (FIE)
Gendered risks of team-based learning: a model of inequitable task allocation in project-based learning,"Robin R. Fowler, Magel P. Su",2018,IEEE Transactions on Education
How does participating in a capstone project with industrial customers affect student attitudes?,"Maria Paasivaara, Dragoş Vodă, Ville T. Heikkilä et al.",2018,Proceedings of the 40th International Conference on Software Engineering: Software Engineering Education and Training
How personality diversity influences team performance in student software engineering teams,"Vreda Pieterse, Mpho Leeu, Marko Van Eekelen",2018,2018 Conference on Information Communications Technology and Society (ICTAS)
Impact of experiential learning on students’ success in undergraduate engineering,"Padmashree Desai, Achyut Bhandiwad, Ashok S. Shettar",2018,2018 IEEE 18th International Conference on Advanced Learning Technologies (ICALT)
Implementation of a PBL/CDIO methodology at ISEP-P.PORTO systems engineering course,"Jose Manuel Magalhaes, Alberto Peixoto Pinto, Maria Teresa Costa et al.",2018,2018 3rd International Conference of the Portuguese Society for Engineering Education (CISPEE)
Improving electronics engineering students’ skills by projects’ college competition,"Moath Awawdeh, Tarig Faisal, Fatima Fadhel et al.",2018,2018 Advances in Science and Engineering Technology International Conferences (ASET)
Improving retention and confidence through cross-course collaborative project-based learning,"Jennifer Winikus, Lukasz Ziarek, Carl Alphonce et al.",2018,2018 IEEE Frontiers in Education Conference (FIE)
Inquiry-based electronics laboratory: students’ attitudes,"Aharon Gero, Beto Catz, Nissim Sabag",2018,2018 28th EAEEIE Annual Conference (EAEEIE)
Integrating project based learning and project management for software engineering teaching: an experience report,"Maria Lydia Fioravanti, Bruno Sena, Leo Natan Paschoal et al.",2018,Proceedings of the 49th ACM Technical Symposium on Computer Science Education
Investigating the effects of personality on software design in a higher education setting through an experiment,"Hector G. Perez-Gonzalez, Alberto Nunez-Varela, Francisco E. Martinez-Perez et al.",2018,2018 6th International Conference in Software Engineering Research and Innovation (CONISOFT)
Involving external stakeholders in project courses,"Jan-Philipp Steghöfer, Håkan Burden, Regina Hebig et al.",2018,ACM Transactions on Computing Education
Long term effects of pair programming,"Max O. Smith, Andrew Giugliano, Andrew DeOrio",2018,IEEE Transactions on Education
More than a feeling: applying a data-driven framework in the technical and professional communication team project,Chris Lam,2018,IEEE Transactions on Professional Communication
Motivation and attitude of computer engineering students toward soft skills,"Mariecke Schipper, Esther Van Der Stappen",2018,2018 IEEE Global Engineering Education Conference (EDUCON)
Moving from waterfall to agile process in software engineering capstone projects,"Mohammad Alshayeb, Sajjad Mahmood, Khalid Aljasser",2018,Computer Science & Information Technology
Pilot experience applying an active learning methodology in a software engineering classroom,"Alicia Garcia-Holgado, Francisco J. Garcia-Penalvo, Maria Jose Rodriguez-Conde",2018,2018 IEEE Global Engineering Education Conference (EDUCON)
Problem solving to teach advanced algorithms in heterogeneous groups,Florent Bouchez-Tichadou,2018,Proceedings of the 23rd Annual ACM Conference on Innovation and Technology in Computer Science Education
Problem-based learning. An experience on the inclusion of quality problems in educational software engineering,"Yasnalla Rivero Pena, Jesus Rafael Hechavarria Hernandez, Maikel Leyva Vazquez",2018,2018 World Engineering Education Forum - Global Engineering Deans Council (WEEF-GEDC)
Qualitative findings from an online course on machine learning,"Steve Chenoweth, Panagiotis K. Linos",2018,2018 IEEE Frontiers in Education Conference (FIE)
Redesigning an undergraduate software engineering course for a large cohort,"Claudia Iacob, Shamal Faily",2018,Proceedings of the 40th International Conference on Software Engineering: Software Engineering Education and Training
"Reflections on 17 years of ICT capstone project coordination: effective strategies for managing clients, teams and assessment",Nicole Herbert,2018,Proceedings of the 49th ACM Technical Symposium on Computer Science Education
Scrum2kanban: integrating kanban and scrum in a university software engineering capstone course,Christoph Matthies,2018,Proceedings of the 2nd International Workshop on Software Engineering Education for Millennials
Seven Principles of Undergraduate Capstone Project Management,Xiaocong Fan,2018,Proceedings of the International Conference on Software Engineering Research and Practice (SERP’18)
SimulES-W: a collaborative game to improve software engineering teaching,"Elizabeth Suescún, Julio Cesar Camapio Do Prado Leite, Vera Werneck et al.",2018,Computación y Sistemas
Skill-based group allocation of students for project-based learning courses using genetic algorithm: weighted penalty model,"Ravneil Nand, Anuraganand Sharma, Karuna Reddy",2018,"2018 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE)"
"Software engineering for millennials, by millennials","Jocelyn Simmonds, Maíra Marques Samary, Milenko Tomic et al.",2018,Proceedings of the 2nd International Workshop on Software Engineering Education for Millennials
Software engineering problems and their relationship to perceived learning and customer satisfaction on a software capstone project,"Jari Vanhanen, Timo O.A. Lehtinen, Casper Lassenius",2018,Journal of Systems and Software
Structure or nurture?: the effects of teambuilding activities and team composition on team outcomes,"Emily M. Hastings, Farnaz Jahanbakhsh, Karrie Karahalios et al.",2018,Proceedings of the ACM on Human-Computer Interaction
Student learning in computing-based servicelearning,"Nusaybah Abu-Mulaweh, William Oakes",2018,2018 IEEE Frontiers in Education Conference (FIE)
TEAMSCOPE: measuring software engineering processes with teamwork telemetry,"An Ju, Armando Fox",2018,Proceedings of the 23rd Annual ACM Conference on Innovation and Technology in Computer Science Education
Tech startup learning activities: a formative evaluation,Kevin Buffardi,2018,Proceedings of the 2nd International Workshop on Software Engineering Education for Millennials
The adoption of open source projects in engineering education: a real software development experience,"Debora M. C. Nascimento, Christina F. G. Chavez, Roberto A. Bittencourt",2018,2018 IEEE Frontiers in Education Conference (FIE)
The hard work of soft skills: augmenting the project-based learning experience with interdisciplinary teamwork,"Jane S. Vogler, Penny Thompson, David W. Davis et al.",2018,Instructional Science
Toward increasing collaboration awareness in software engineering teams,"Shuddha Chowdhury, Charles Walter, Rose Gamble",2018,2018 IEEE Frontiers in Education Conference (FIE)
Towards team formation using belbin role types and a social networks analysis approach,"Josue-Miguel Flores-Parra, Manuel Castafon-Puga, Richard David Evans et al.",2018,2018 IEEE Technology and Engineering Management Conference (TEMSCON)
"‘Helpful,’ ‘irritating,’ and ‘smart’: student perspectives on teams in a mechanical engineering program","Nancy B. Barr, James P. De Clerck",2018,2018 IEEE International Professional Communication Conference (ProComm)
A comparison of peer rating behavior between students in hard vs. Soft disciplines,"Maizey Benner, Daniel Ferguson, Behzad Beigpourian et al.",2019,2019 IEEE Frontiers in Education Conference (FIE)
A method to provide student peer mentorship within the capstone experience,David E. Schmidt,2019,2019 IEEE Frontiers in Education Conference (FIE)
Actions to promote diversity in engineering studies: a case study in a computer science degree,"Alicia Garcia-Holgado, Andrea Vazquez-Ingelmo, Sonia Verdugo-Castro et al.",2019,2019 IEEE Global Engineering Education Conference (EDUCON)
Assessing students’ IT professional values in a global project setting,"S. Frezza, M. Daniels, A. Wilkin",2019,ACM Transactions on Computing Education
"Balancing theory and practice in software engineering education – a PBL, toolset based approach","Awdren Fontao, Bruno Gadelha, Alberto Castro Junior",2019,2019 IEEE Frontiers in Education Conference (FIE)
Behavior-driven dynamics in agile development: the effect of fast feedback on teams,"Fabian Kortum, Jil Klunder, Kurt Schneider",2019,2019 IEEE/ACM International Conference on Software and System Processes (ICSSP)
Boosting student performance with peer reviews; integration and analysis of peer reviews in a gamified software engineering classroom,"Kay Berkling, Katja Neubehler",2019,2019 IEEE Global Engineering Education Conference (EDUCON)
Case study: using project based learning to develop parallel programing and soft skills,"Awad A Younis, Rajshekhar Sunderraman, Mike Metzler et al.",2019,2019 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW)
Characterizing capstone design teaching: a functional taxonomy,"James J. Pembridge, Marie C. Paretti",2019,Journal of Engineering Education
Collaborating with industrial customers in a capstone project course: the customers’ perspective,"Maria Paasivaara, Jari Vanhanen, Casper Lassenius",2019,2019 IEEE/ACM 41st International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
Continuous assessment in software engineering project course using publicly available data from GitHub,"Henrik Gustavsson, Marcus Brohede",2019,Proceedings of the 15th International Symposium on Open Collaboration
"Design of a course oriented to the comprehension of agile methods based on teamwork, roleplay, and class project with a real client","Alix E. Rojas, Camilo Mejia-Moncayo",2019,2019 International Conference on Virtual Reality and Visualization (ICVRV)
Design of capstone projects under CDIO mode,Wei Zhang,2019,2019 International Conference on Computational Science and Computational Intelligence (CSCI)
Designing a multi-disciplinary group project for computer science and engineering students,"Kheng Leong Tan, Wooi Boon Goh",2019,2019 IEEE Global Engineering Education Conference (EDUCON)
"Developing soft and technical skills through multi-semester, remotely mentored, communityservice projects","Janet Davis, Samuel A. Rebelsky",2019,Proceedings of the 50th ACM Technical Symposium on Computer Science Education
Does social sensitivity impact virtual teams?,"Lisa L. Lacher, Cydnee Biehl",2019,Proceedings of the 50th ACM Technical Symposium on Computer Science Education
Effect of controlling group heterogeneity on student performance in a graphical programming course,"Evelia Y. Salinas, Adrienne E. Williams, Christine E. King",2019,2019 IEEE Frontiers in Education Conference (FIE)
Exploring the gap between the student expectations and the reality of teamwork in undergraduate software engineering group projects,"Claudia Iacob, Shamal Faily",2019,Journal of Systems and Software
Facilitating entrepreneurial experiences through a software engineering project course,"Håkan Burden, Jan-Philipp Steghöfer, Oskar Hagvall Svensson",2019,2019 IEEE/ACM 41st International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
Gamification in software engineering education,"G. Ivanova, V. Kozov, P. Zlatarov",2019,"2019 42nd International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)"
How much authenticity can be achieved in software engineering project based courses?,"Zahra Shakeri Hossein Abad, Muneera Bano, Didar Zowghi",2019,2019 IEEE/ACM 41st International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
Impact of using agile methods in software engineering education: a case study,Serein Al-Ratrout,2019,"2019 6th International Conference on Control, Decision and Information Technologies (CoDIT)"
Industry-oriented project-based learning of software engineering,Maria Spichkova,2019,2019 24th International Conference on Engineering of Complex Computer Systems (ICECCS)
Industry-university collaboration: an educational program with automotive industry,"Hector Morano-Okuno, Guillermo Sandoval-Benitez, Rafael Caltenco-Castillo et al.",2019,"2019 IEEE International Conference on Engineering, Technology and Education (TALE)"
Integrating introductory data science into computer and information literacy through collaborative project-based learning,"Qiong Cheng, Felix Lopez, Athina Hadjixenofontos",2019,2019 IEEE Frontiers in Education Conference (FIE)
Investigating the role choice of female students in a software engineering team project,"Laura Heels, Marie Devlin",2019,Proceedings of the 3rd Conference on Computing Education Practice
Managing diversity in distributed software development education—a longitudinal case study,"Ivana Bosnić, Federico Ciccozzi, Ivica Crnković et al.",2019,ACM Transactions on Computing Education
Meta-heuristic approaches to tackle skill based group allocation of students in project based learning courses,"Ravneil Nand, Anuraganand Sharma",2019,2019 IEEE Congress on Evolutionary Computation (CEC)
Mistakes in UML diagrams: analysis of student projects in a software engineering course,"Stanislav Chren, Barbora Buhnova, Martin Macak et al.",2019,2019 IEEE/ACM 41st International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
Pair programming as a didactical approach in higher education and its evaluation,"Carolin Gold-Veerkamp, Marco Klopp, Jorg Abke",2019,2019 IEEE Global Engineering Education Conference (EDUCON)
Participating in an industry based social service program: a report of student perception of what they learn and what they need,"Miguel Ehécatl Morales Trujillo, Gabriel Alberto García Mireles",2019,2019 Federated Conference on Computer Science and Information Systems (FedCSIS)
Practical implementation of agile approaches in teaching process,Serein Al-Ratrout,2019,International Journal of Engineering and Advanced Technology
Practical method of improving the teamwork of engineering students using team contracts to minimize conflict situations,"Maria Luisa Pertegal-Felices, Andres Fuster-Guillo, Maria Luisa Rico-Soliveres et al.",2019,IEEE Access
